Education_Sector,School_Name,School_Type,Address,Suburb,Postcode,Full_Phone_No,LGA_ID,LGA_Name,CouncilArea,Longitude,Latitude
Government,Thomastown Primary School,Primary,6 Spring Street,Thomastown,3074,03 9465 2225,707,Whittlesea ,Whittlesea City Council,145.011495,-37.682271
Government,Wangaratta Primary School,Primary,19 Chisholm Street,Wangaratta,3677,03 5721 2658,670,Wangaratta ,Wangaratta City Council,146.329419,-36.355275
Government,Wahgunyah Primary School,Primary,Elizabeth Street,Wahgunyah,3687,02 6033 1265,335,Indigo ,Indigo City Council,146.397925,-36.013651
Government,Woodend Primary School,Primary,146 High Street,Woodend,3442,03 5427 2455,413,Macedon Ranges ,Macedon Ranges Shire Council,144.5329415,-37.35341833
Government,Woodford Primary School,Primary,8 Victoria Street,Woodford,3281,03 5562 7632,673,Warrnambool ,Warrnambool City Council,142.484504,-38.316807
Government,Werribee Primary School,Primary,2 Deutgam Street,Werribee,3030,03 9742 6659,726,Wyndham ,Wyndham City Council,144.658736,-37.906865
Government,Winters Flat Primary School,Primary,3 Roberts Avenue,Castlemaine,3450,03 5472 1522,543,Mount Alexander ,Mount Alexander City Council,144.207491,-37.070164
Government,Wooragee Primary School,Primary,1011 Beechworth-Wodonga Road,Wooragee,3747,03 5728 7255,335,Indigo ,Indigo City Council,146.730883,-36.29048
Government,Wallan Primary School,Primary,46-48 Queen Street,Wallan,3756,03 5783 1232,485,Mitchell ,Mitchell Shire Council,144.975036,-37.411465
Government,Woolsthorpe Primary School,Primary,12 Manifold Street,Woolsthorpe,3276,03 5569 2241,549,Moyne ,Moyne City Council,142.4317633,-38.18741399
Government,Yandoit Primary School,Primary,74 High Street,Yandoit,3461,03 5476 4286,291,Hepburn ,Hepburn City Council,144.0884407,-37.21400151
Government,Yarram Primary School,Primary,2-14 Wesley Street,Yarram,3971,03 5182 5688,681,Wellington ,Wellington City Council,146.675323,-38.558532
Government,Pleasant Street Primary School (Ballarat),Primary,101 Pleasant St North,Lake Wendouree,3350,03 5332 2598,57,Ballarat ,Ballarat City Council,143.838497,-37.556332
Government,Yea Primary School,Primary,23 Station Street,Yea,3717,03 5797 2724,562,Murrindindi ,Murrindindi City Council,145.428298,-37.212727
Government,Lancefield Primary School,Primary,80 High Street,Lancefield,3435,03 5429 2307,413,Macedon Ranges ,Macedon Ranges Shire Council,144.726424,-37.27495358
Government,Coimadai Primary School,Primary,86 Bennetts Lane,Coimadai,3340,03 5367 2907,515,Moorabool ,Moorabool Shire Council,144.478308,-37.6137926
Government,Birregurra Primary School,Primary,58 Beal Street,Birregurra,3242,03 5236 2222,175,Colac-Otway ,Colac-Otway City Council,143.78651,-38.340457
Government,Clayton North Primary School,Primary,1714 Dandenong Road,Clayton,3168,03 9544 1522,497,Monash ,Monash City Council,145.122666,-37.911944
Government,Milawa Primary School,Primary,133 Milawa-Bobinawarrah Road,Milawa,3678,03 5727 3243,670,Wangaratta ,Wangaratta City Council,146.432484,-36.444544
Government,Lockwood Primary School,Primary,190 Wiegards Road,Lockwood,3551,03 5435 3224,262,Greater Bendigo ,Greater Bendigo City Council,144.161558,-36.802579
Government,Bealiba Primary School,Primary,9 Grant Street,Bealiba,3475,03 5469 1256,167,Central Goldfields ,Central Goldfields City Council,143.551897,-36.789942
Government,Bairnsdale Primary School,Primary,330 - 370 Main Street,Bairnsdale,3875,03 5152 4395,211,East Gippsland ,East Gippsland City Council,147.6232285,-37.82742322
Government,Gordon Primary School,Primary,1 Dicker Street,Gordon,3345,03 5368 9223,515,Moorabool ,Moorabool Shire Council,144.105053,-37.58384869
Government,Hepburn Primary School,Primary,156 Main Road,Hepburn,3461,03 5348 2531,291,Hepburn ,Hepburn City Council,144.1327626,-37.30971525
Government,Lara Lake Primary School,Primary,89 Forest Road South,Lara Lake,3212,03 5282 1261,275,Greater Geelong ,Greater Geelong City Council,144.395642,-38.030405
Government,Rosedale Primary School,Primary,1-23 Cricket Street,Rosedale,3847,03 5199 2473,681,Wellington ,Wellington City Council,146.7739049,-38.15460171
Government,Bright P-12 College,Pri/Sec,46 Bakers Gully Road,Bright,3741,03 5755 1166,11,Alpine ,Alpine City Council,146.960928,-36.733105
Government,Rochester Primary School,Primary,2 George Street,Rochester,3561,03 5484 1072,137,Campaspe ,Campaspe City Council,144.6979959,-36.35459709
Government,Ararat Primary School,Primary,70 - 78 Moore Street,Ararat,3377,03 5352 1253,26,Ararat ,Ararat City Council,142.937307,-37.285942
Government,Jamieson Primary School,Primary,1 The Sideling,Jamieson,3723,03 5777 0535,425,Mansfield ,Mansfield City Council,146.139999,-37.301263
Government,Preston South Primary School,Primary,56B Hotham Street,Preston,3072,03 9484 1544,189,Darebin ,Darebin City Council,145.007447,-37.747867
Government,Omeo Primary School,Primary,167 Day Avenue,Omeo,3898,03 5159 1313,211,East Gippsland ,East Gippsland City Council,147.593082,-37.100217
Government,Harrietville Primary School,Primary,165 Great Alpine Road,Harrietville,3741,03 5759 2533,11,Alpine ,Alpine City Council,147.064936,-36.887713
Government,Mordialloc Beach Primary School,Primary,58 Barkly Street,Mordialloc,3195,03 9580 1468,343,Kingston ,Kingston City Council,145.088809,-38.005582
Government,Healesville Primary School,Primary,2 View Street,Healesville,3777,03 5962 4053,745,Yarra Ranges ,Yarra Ranges Shire Council,145.5160425,-37.65713287
Government,Lake Bolac College,Pri/Sec,90 Montgomery Street,Lake Bolac,3351,03 5350 2302,26,Ararat ,Ararat City Council,142.837903,-37.720241
Government,Toongabbie Primary School,Primary,Victoria Street,Toongabbie,3856,03 5192 4384,381,Latrobe ,Latrobe City Council,146.625183,-38.056967
Government,Waubra Primary School,Primary,2110 Sunraysia Highway,Waubra,3352,03 5343 5358,599,Pyrenees ,Pyrenees City Council,143.634455,-37.353836
Government,Great Western Primary School,Primary,Stephenson Street,Great Western,3374,03 5356 2235,581,Northern Grampians ,Northern Grampians City Council,142.85173,-37.148513
Government,Maffra Primary School,Primary,22-28 Church Street,Maffra,3860,03 5147 1236,681,Wellington ,Wellington City Council,146.97677,-37.964002
Government,Broken Creek Primary School,Primary,413 Quinn Road,Broken Creek,3673,03 5764 1253,101,Benalla ,Benalla City Council,145.889232,-36.423279
Government,Lal Lal Primary School,Primary,12 Vaughan Street,Lal Lal,3352,03 5341 7580,515,Moorabool ,Moorabool Shire Council,144.010707,-37.676724
Government,Cobden Primary School,Primary,Silvester Street,Cobden,3266,03 5595 1087,183,Corangamite ,Corangamite City Council,143.078121,-38.327119
Government,St Leonards Primary School,Primary,1341 Murradoc Road,St Leonards,3223,03 5257 1460,275,Greater Geelong ,Greater Geelong City Council,144.714754,-38.171835
Government,Lilydale Primary School,Primary,63 - 65 Castella Street,Lilydale,3140,03 9735 1642,745,Yarra Ranges ,Yarra Ranges Shire Council,145.3540681,-37.75367357
Government,Bendigo Primary School,Primary,Old Violet Street,Bendigo,3550,03 5443 6411,262,Greater Bendigo ,Greater Bendigo City Council,144.265244,-36.757017
Government,Darraweit Guim Primary School,Primary,2 Darraweit Valley Road,Darraweit Guim,3756,03 5789 1234,413,Macedon Ranges ,Macedon Ranges Shire Council,144.8935664,-37.4010281
Government,Linton Primary School,Primary,28 Adair Street,Linton,3360,03 5344 7341,249,Golden Plains ,Golden Plains City Council,143.5613088,-37.68406827
Government,Invermay Primary School,Primary,187 Swinglers Road,Invermay,3352,03 5332 6396,57,Ballarat ,Ballarat City Council,143.874583,-37.520527
Government,Mitta Mitta Primary School,Primary,27 Giltrap Road,Mitta Mitta,3701,02 6072 3570,667,Towong ,Towong City Council,147.379483,-36.533414
Government,Camberwell Primary School,Primary,290 Camberwell Road,Camberwell,3124,03 9882 4663,111,Boroondara ,Boroondara City Council,145.058048,-37.832684
Government,Greenvale Primary School,Primary,12-24 Bradford Avenue,Greenvale,3059,03 9333 2500,327,Hume ,Hume City Council,144.886181,-37.639828
Government,Alexandra Primary School,Primary,15 Webster Street,Alexandra,3714,03 5772 1006,562,Murrindindi ,Murrindindi City Council,145.711704,-37.192568
Government,Rockbank Primary School,Primary,97-105 Westcott Parade,Rockbank,3335,03 9747 1210,465,Melton ,Melton City Council,144.661899,-37.732147
Government,Bannockburn P-12 College,Pri/Sec,139 Milton Street,Bannockburn,3331,03 5281 1755,249,Golden Plains ,Golden Plains City Council,144.160668,-38.042004
Government,Doreen Primary School,Primary,75 Doctors Gully Road,Doreen,3754,03 9717 3563,571,Nillumbik ,Nillumbik Shire Council,145.145539,-37.60601
Government,Talbot Primary School,Primary,2 Rowe Street,Talbot,3371,03 5463 2373,167,Central Goldfields ,Central Goldfields City Council,143.703604,-37.16865
Government,Yarra Glen Primary School,Primary,35 Symonds Street,Yarra Glen,3775,03 9730 1254,745,Yarra Ranges ,Yarra Ranges Shire Council,145.372413,-37.649705
Government,Elmhurst Primary School,Primary,48 Byerly Street,Elmhurst,3469,03 5354 8252,26,Ararat ,Ararat City Council,143.250208,-37.178015
Government,Kangaroo Flat Primary School,Primary,60-80 Olympic Parade,Kangaroo Flat,3555,03 5447 5100,262,Greater Bendigo ,Greater Bendigo City Council,144.234086,-36.787683
Government,Westmeadows Primary School,Primary,34-46 Riddell Street,Westmeadows,3049,03 9309 4350,327,Hume ,Hume City Council,144.895697,-37.675649
Government,Sunbury Primary School,Primary,41 The Heights,Sunbury,3429,03 9744 9744,327,Hume ,Hume City Council,144.728144,-37.597687
Government,Diamond Creek Primary School,Primary,17 Clyde Street,Diamond Creek,3089,03 9438 1108,571,Nillumbik ,Nillumbik Shire Council,145.1516539,-37.67184929
Government,Hesket Primary School,Primary,800 Romsey Road,Hesket,3442,03 5427 0330,413,Macedon Ranges ,Macedon Ranges Shire Council,144.6197775,-37.34780909
Government,Axedale Primary School,Primary,81 High Street,Axedale,3551,03 5439 7232,262,Greater Bendigo ,Greater Bendigo City Council,144.50146,-36.786228
Government,Vermont Primary School,Primary,4-10 Nurlendi Road,Vermont,3133,03 9874 2511,698,Whitehorse ,Whitehorse City Council,145.194296,-37.837359
Government,Tarnagulla Primary School,Primary,51 Stanley Street,Tarnagulla,3551,03 5438 7355,394,Loddon ,Loddon City Council,143.828403,-36.771263
Government,Balwyn Primary School,Primary,86B Balwyn Road,Balwyn,3103,03 9836 7121,111,Boroondara ,Boroondara City Council,145.081378,-37.813938
Government,Scoresby Primary School,Primary,11 Ingrid Street,Scoresby,3179,03 9763 7484,367,Knox ,Knox City Council,145.227501,-37.89395
Government,Carisbrook Primary School,Primary,2  Camp Street,Carisbrook,3464,03 5464 2444,167,Central Goldfields ,Central Goldfields City Council,143.812657,-37.052061
Government,Wandin Yallock Primary School,Primary,105 Beenak Road,Wandin North,3139,03 5964 4276,745,Yarra Ranges ,Yarra Ranges Shire Council,145.43595,-37.790251
Government,Yering Primary School,Primary,22-24 Melba Highway,Yering,3770,03 9739 1451,745,Yarra Ranges ,Yarra Ranges Shire Council,145.3822185,-37.7053494
Government,Dartmoor Primary School,Primary,76 Greenham Street,Dartmoor,3304,03 5528 1382,241,Glenelg ,Glenelg City Council,141.276732,-37.923017
Government,Mickleham Primary School,Primary,1880 Mickleham Road,Mickleham,3064,03 9745 2250,327,Hume ,Hume City Council,144.876546,-37.563495
Government,Inglewood Primary School,Primary,77 Sullivan Street,Inglewood,3517,03 5438 3303,394,Loddon ,Loddon City Council,143.870446,-36.573945
Government,Chewton Primary School,Primary,1 Hunter Street,Chewton,3451,03 5472 2557,543,Mount Alexander ,Mount Alexander City Council,144.261164,-37.082327
Government,Bolinda Primary School,Primary,1 Mullalys Road,Bolinda,3432,03 5428 5317,413,Macedon Ranges ,Macedon Ranges Shire Council,144.7454039,-37.43373498
Government,Napoleons Primary School,Primary,4721 Colac-Ballarat Road,Napoleons,3352,03 5342 0414,249,Golden Plains ,Golden Plains City Council,143.826459,-37.67862938
Government,Kew Primary School,Primary,Peel Street,Kew,3101,03 9853 8325,111,Boroondara ,Boroondara City Council,145.033386,-37.803639
Government,Haddon Primary School,Primary,398 Sago Hill Road,Haddon,3351,03 4344 4139,249,Golden Plains ,Golden Plains City Council,143.7217144,-37.58863962
Government,Panmure Primary School,Primary,8759 Princes Highway,Panmure,3265,03 5567 6264,549,Moyne ,Moyne City Council,142.732528,-38.32935021
Government,Sorrento Primary School,Primary,32 Kerferd Avenue,Sorrento,3943,03 5984 2130,534,Mornington Peninsula ,Mornington Peninsula City Council,144.740685,-38.341482
Government,Alfredton Primary School,Primary,89a Cuthberts Road,Alfredton,3350,03 5334 1572,57,Ballarat ,Ballarat City Council,143.802104,-37.554797
Government,Bridgewater Primary School,Primary,34 - 44 Eldon Street,Bridgewater On Loddon,3516,03 5437 3081,394,Loddon ,Loddon City Council,143.945917,-36.603101
Government,Hastings Primary School,Primary,10 - 20 Hodgins Road,Hastings,3915,03 5979 1517,534,Mornington Peninsula ,Mornington Peninsula City Council,145.189474,-38.299696
Government,Yackandandah Primary School,Primary,39 High Street,Yackandandah,3749,02 6027 1431,335,Indigo ,Indigo City Council,146.836458,-36.312095
Government,Nagambie Primary School,Primary,31 Goulburn Street,Nagambie,3608,03 5794 2273,643,Strathbogie ,Strathbogie City Council,145.157226,-36.787589
Government,Heyfield Primary School,Primary,22 Temple Street,Heyfield,3858,03 5148 2666,681,Wellington ,Wellington City Council,146.784936,-37.982114
Government,Moorabbin Primary School,Primary,61 Worthing Road,Moorabbin,3189,03 9555 1101,343,Kingston ,Kingston City Council,145.039587,-37.94202
Government,Mansfield Primary School,Primary,4 Apollo Street,Mansfield,3722,03 5775 2325,425,Mansfield ,Mansfield City Council,146.084825,-37.055591
Government,Middle Indigo Primary School,Primary,710 Indigo Creek Road,Indigo Valley,3688,02 6026 9235,335,Indigo ,Indigo City Council,146.72484,-36.156013
Government,Briagolong Primary School,Primary,2 Church Street,Briagolong,3860,03 5145 5260,681,Wellington ,Wellington City Council,147.067843,-37.842801
Government,Lindenow Primary School,Primary,140 Henry Street,Lindenow,3865,03 5157 1340,211,East Gippsland ,East Gippsland City Council,147.453266,-37.800879
Government,Broadford Primary School,Primary,17-23 Powlett Street,Broadford,3658,03 5784 1221,485,Mitchell ,Mitchell Shire Council,145.046301,-37.20257
Government,Murchison Primary School,Primary,8 - 10 Impey Street,Murchison,3610,03 5826 2391,283,Greater Shepparton ,Greater Shepparton City Council,145.214287,-36.61718
Government,Panton Hill Primary School,Primary,585 Kangaroo Grd-St Andrews Rd,Panton Hill,3759,03 9719 7202,571,Nillumbik ,Nillumbik Shire Council,145.2395564,-37.64160566
Government,Glen Park Primary School,Primary,265 Ralstons Road,Glen Park,3352,03 5334 5360,515,Moorabool ,Moorabool Shire Council,143.934795,-37.524779
Government,Concongella Primary School,Primary,61 Concongella School Road,Concongella,3384,03 5358 1811,581,Northern Grampians ,Northern Grampians City Council,142.822316,-37.049558
Government,Bruthen Primary School,Primary,31 Great Alpine Road,Bruthen,3885,03 5157 5445,211,East Gippsland ,East Gippsland City Council,147.833492,-37.704214
Government,Swan Hill Primary School,Primary,123 Gray Street,Swan Hill,3585,03 5032 1336,661,Swan Hill ,Swan Hill City Council,143.54325,-35.346911
Government,Porepunkah Primary School,Primary,2 Martley Street,Porepunkah,3740,03 5756 2253,11,Alpine ,Alpine City Council,146.911022,-36.699486
Government,Leopold Primary School,Primary,1 Kensington Road,Leopold,3224,03 5250 1233,275,Greater Geelong ,Greater Geelong City Council,144.464367,-38.187261
Government,Inverleigh Primary School,Primary,54 High Street,Inverleigh,3321,03 5265 1340,249,Golden Plains ,Golden Plains City Council,144.0546877,-38.10094228
Government,Glen Iris Primary School,Primary,170 Glen Iris Road,Glen Iris,3146,03 9885 3624,111,Boroondara ,Boroondara City Council,145.065894,-37.860483
Government,Trawalla Primary School,Primary,11 Trawalla Road,Trawalla,3373,03 5349 2047,599,Pyrenees ,Pyrenees City Council,143.469859,-37.437731
Government,Quarry Hill Primary School,Primary,25 Peel Street,Quarry Hill,3550,03 5443 3537,262,Greater Bendigo ,Greater Bendigo City Council,144.279976,-36.775117
Government,Sebastopol Primary School,Primary,9 Warreen Street,Sebastopol,3356,03 5335 8157,57,Ballarat ,Ballarat City Council,143.844719,-37.59643401
Government,Woodside Primary School,Primary,39-41 Prince St,Woodside,3874,03 5187 1272,681,Wellington ,Wellington City Council,146.876739,-38.526332
Government,Noorat Primary School,Primary,MacKinnon's Bridge Road,Noorat,3265,03 5592 5282,183,Corangamite ,Corangamite City Council,142.928735,-38.190751
Government,Albert Park Primary School,Primary,Bridport Street,Albert Park,3206,03 9699 9090,590,Port Phillip ,Port Phillip City Council,144.952766,-37.841884
Government,Williamstown Primary School,Primary,Cnr. Electra & Parker Street,Williamstown,3016,03 9397 1248,311,Hobsons Bay ,Hobsons Bay City Council,144.900409,-37.863798
Government,Boneo Primary School,Primary,582 Boneo Road,Boneo,3939,03 5988 6253,534,Mornington Peninsula ,Mornington Peninsula City Council,144.887285,-38.41187
Government,Queenscliff Primary School,Primary,Cnr Stokes & Stevens Street,Queenscliff,3225,03 5258 1696,608,Queenscliffe ,Queenscliffe City Council,144.656211,-38.267224
Government,Portland North Primary School,Primary,42 School Road,Portland North,3305,03 5523 1482,241,Glenelg ,Glenelg City Council,141.572331,-38.317639
Government,Timor Primary School,Primary,395 Bet Bet Creek Road,Timor,3465,03 5461 2595,167,Central Goldfields ,Central Goldfields City Council,143.711987,-36.984224
Government,Apsley Primary School,Primary,46 Laidlaw Street,Apsley,3319,03 5586 1231,689,West Wimmera ,West Wimmera City Council,141.082487,-36.973706
Government,Strathfieldsaye Primary School,Primary,9 Uxbridge Street,Strathfieldsaye,3551,03 5439 5207,262,Greater Bendigo ,Greater Bendigo City Council,144.352908,-36.804355
Government,Skye Primary School,Primary,395 Ballarto Road,Skye,3977,03 9786 1555,217,Frankston ,Frankston City Council,145.201245,-38.117707
Government,Tooborac Primary School,Primary,5185 Northern Highway,Tooborac,3522,03 5433 5225,485,Mitchell ,Mitchell Shire Council,144.798145,-37.039779
Government,Lucknow Primary School,Primary,35 Howitt Avenue,Eastwood,3875,03 5152 4662,211,East Gippsland ,East Gippsland City Council,147.630748,-37.812667
Government,Upper Plenty Primary School,Primary,10 Clarkes Road,Upper Plenty,3756,03 5783 1358,485,Mitchell ,Mitchell Shire Council,145.057874,-37.423711
Government,Carlton North Primary School,Primary,60 Lee Street,Carlton North,3054,03 9347 4822,735,Yarra ,Yarra City Council,144.973028,-37.791064
Government,Maldon Primary School,Primary,109 High Street,Maldon,3463,03 5475 1484,543,Mount Alexander ,Mount Alexander City Council,144.065814,-36.995039
Government,Woori Yallock Primary School,Primary,1360 Healesville Road,Woori Yallock,3139,03 5964 7258,745,Yarra Ranges ,Yarra Ranges Shire Council,145.5326881,-37.77737209
Government,Moyston Primary School,Primary,1349 Ararat-Halls Gap Road,Moyston,3377,03 5354 2537,26,Ararat ,Ararat City Council,142.76785,-37.301664
Government,Buninyong Primary School,Primary,202 Simpson Street,Buninyong,3357,03 5341 3560,57,Ballarat ,Ballarat City Council,143.886252,-37.654229
Government,Marysville Primary School,Primary,15 Falls Road,Marysville,3779,03 5963 3256,562,Murrindindi ,Murrindindi City Council,145.748939,-37.511982
Government,Langley Primary School,Primary,Crn Kyneton/Heathcote & Parsells Rd,Langley,3444,03 5423 4125,543,Mount Alexander ,Mount Alexander City Council,144.489657,-37.17118
Government,Wandong Primary School,Primary,39-51 Rail Street,Wandong,3758,03 5787 1232,485,Mitchell ,Mitchell Shire Council,145.027861,-37.360304
Government,Cowes Primary School,Primary,177 Settlement Road,Cowes,3922,03 5952 2132,74,Bass Coast ,Bass Coast City Council,145.241315,-38.456278
Government,Bullarto Primary School,Primary,131 Bullarto South Road,Bullarto,3461,03 5348 5559,291,Hepburn ,Hepburn City Council,144.218221,-37.405379
Government,Lismore Primary School,Primary,77 William Street,Lismore,3324,03 5596 2121,183,Corangamite ,Corangamite City Council,143.3392983,-37.95459656
Government,Lower Plenty Primary School,Primary,126-146 Main Road,Lower Plenty,3093,03 9435 2585,66,Banyule ,Banyule City Council,145.115498,-37.726172
Government,Specimen Hill Primary School,Primary,Inglewood Street,Golden Square,3555,03 5443 5353,262,Greater Bendigo ,Greater Bendigo City Council,144.248335,-36.761874
Government,Bolwarra Primary School,Primary,249 Princes Highway,Bolwarra,3305,03 5529 2374,241,Glenelg ,Glenelg City Council,141.613797,-38.281613
Government,Navarre Primary School,Primary,High Street,Navarre,3384,03 5357 4256,581,Northern Grampians ,Northern Grampians City Council,143.111337,-36.900737
Government,Warracknabeal Primary School,Primary,5 Werrigar Street,Warracknabeal,3393,03 5398 1194,763,Yarriambiack ,Yarriambiack City Council,142.391263,-36.257875
Government,Moyhu Primary School,Primary,2799 Wangaratta-Whitfield Road,Moyhu,3732,03 5727 9298,670,Wangaratta ,Wangaratta City Council,146.383087,-36.593173
Government,Natte Yallock Primary School,Primary,10 School Road,Natte Yallock,3465,03 5462 2386,599,Pyrenees ,Pyrenees City Council,143.468003,-36.942129
Government,Clifton Hill Primary School,Primary,185 Gold St,Clifton Hill,3068,03 9489 8333,735,Yarra ,Yarra City Council,144.989245,-37.792308
Government,Christmas Hills Primary School,Primary,1409 Eltham-yarra Glen Road,Christmas Hills,3775,03 9730 1238,571,Nillumbik ,Nillumbik Shire Council,145.304199,-37.653515
Government,Tallangatta Primary School,Primary,1 Wonga Grove,Tallangatta,3700,02 6071 2590,667,Towong ,Towong City Council,147.1741969,-36.21479715
Government,Kialla Central Primary School,Primary,128 Central Kialla Road,Kialla,3631,03 5827 1373,283,Greater Shepparton ,Greater Shepparton City Council,145.431154,-36.452703
Government,Mount Eliza Primary School,Primary,Wooralla Drive,Mount Eliza,3930,03 9787 1385,534,Mornington Peninsula ,Mornington Peninsula City Council,145.092187,-38.195387
Government,San Remo Primary School,Primary,22 Bergin Grove,San Remo,3925,03 5678 5354,74,Bass Coast ,Bass Coast City Council,145.369453,-38.523852
Government,Dimboola Primary School,Primary,Hindmarsh Street,Dimboola,3414,03 5389 1270,298,Hindmarsh ,Hindmarsh City Council,142.030403,-36.453364
Government,Whorouly Primary School,Primary,18 Church Street,Whorouly,3735,03 5727 1363,670,Wangaratta ,Wangaratta City Council,146.586653,-36.505442
Government,Merrijig Primary School,Primary,1820 Mount Buller Road,Merrijig,3723,03 5777 5559,425,Mansfield ,Mansfield City Council,146.25688,-37.102798
Government,Lethbridge Primary School,Primary,2 Stephenson Street,Lethbridge,3332,03 5281 7214,249,Golden Plains ,Golden Plains City Council,144.134564,-37.969062
Government,Oxley Primary School,Primary,1050 Wangaratta-Whitfield Road,Oxley,3678,03 5727 3312,670,Wangaratta ,Wangaratta City Council,146.360637,-36.441561
Government,Northcote Primary School,Primary,33 Helen Street,Northcote,3070,03 9481 0009,189,Darebin ,Darebin City Council,144.99688,-37.771758
Government,North Melbourne Primary School,Primary,210 Errol Street,North Melbourne,3051,03 9329 6902,460,Melbourne ,Melbourne City Council,144.950637,-37.798733
Government,Dandenong Primary School,Primary,174-182 Foster Street,Dandenong,3175,03 9792 2743,267,Greater Dandenong ,Greater Dandenong City Council,145.219821,-37.987917
Government,Malmsbury Primary School,Primary,28 Cameron Street,Malmsbury,3446,03 5423 2284,413,Macedon Ranges ,Macedon Ranges Shire Council,144.3869427,-37.187315
Government,Williamstown North Primary School,Primary,133 Melbourne Road,Williamstown,3016,03 9397 5722,311,Hobsons Bay ,Hobsons Bay City Council,144.891757,-37.855902
Government,Kerang Primary School,Primary,75 - 79 Victoria Street,Kerang,3579,03 5450 3181,225,Gannawarra ,Gannawarra City Council,143.921138,-35.731693
Government,Drouin West Primary School,Primary,535 Main Neerim Road,Drouin West,3818,03 5625 1971,83,Baw Baw ,Baw Baw City Council,145.871719,-38.087115
Government,Meredith Primary School,Primary,5 Wallace Street,Meredith,3333,03 5286 1313,249,Golden Plains ,Golden Plains City Council,144.0778091,-37.84271017
Government,Edi Upper Primary School,Primary,832 Edi-Cheshunt Road,Edi Upper,3678,03 5729 3560,670,Wangaratta ,Wangaratta City Council,146.448811,-36.706471
Government,Eaglehawk North Primary School,Primary,1-9 Bendigo-Pyramid Road,Eaglehawk,3556,03 5446 8366,262,Greater Bendigo ,Greater Bendigo City Council,144.237269,-36.707066
Government,Mooroopna Primary School,Primary,16-18 O'Brien Street,Mooroopna,3629,03 5825 2060,283,Greater Shepparton ,Greater Shepparton City Council,145.360292,-36.391363
Government,Cairnlea Park Primary School,Primary,49 Carmody Drive,Cairnlea,3023,03 9363 1187,118,Brimbank ,Brimbank City Council,144.787998,-37.758855
Government,Ballan Primary School,Primary,8-14 Duncan Street,Ballan,3342,03 5368 1072,515,Moorabool ,Moorabool Shire Council,144.2311016,-37.60168009
Government,Mount Pleasant Primary School,Primary,401 Cobden Street,Ballarat,3350,03 5332 3646,57,Ballarat ,Ballarat City Council,143.857806,-37.578357
Government,Tatura Primary School,Primary,28-40 Albert Street,Tatura,3616,03 5824 1684,283,Greater Shepparton ,Greater Shepparton City Council,145.229923,-36.444966
Government,Toolamba Primary School,Primary,69-77 Wren Street,Toolamba,3614,03 5826 5212,283,Greater Shepparton ,Greater Shepparton City Council,145.344182,-36.490521
Government,Harston Primary School,Primary,155 Harston Road,Tatura,3616,03 5854 8317,283,Greater Shepparton ,Greater Shepparton City Council,145.141754,-36.469859
Government,Osbornes Flat Primary School,Primary,354 Osbornes Flat Road,Osbornes Flat,3691,02 6027 1415,335,Indigo ,Indigo City Council,146.892571,-36.31716
Government,Frankston Primary School,Primary,Davey Street,Frankston,3199,03 9783 3769,217,Frankston ,Frankston City Council,145.1240309,-38.14755735
Government,Donald Primary School,Primary,2B Walker Street,Donald,3480,03 5497 1581,127,Buloke ,Buloke City Council,142.984628,-36.367208
Government,Beveridge Primary School,Primary,Arrowsmith Street,Beveridge,3753,03 9216 3400,485,Mitchell ,Mitchell Shire Council,144.977755,-37.472062
Government,St Kilda Primary School,Primary,2B Brighton Road,St Kilda,3182,03 9534 3993,590,Port Phillip ,Port Phillip City Council,144.989019,-37.870223
Government,Cape Clear Primary School,Primary,1539 Scarsdale-pitfield Road,Cape Clear,3351,03 5342 2252,249,Golden Plains ,Golden Plains City Council,143.6082053,-37.79195536
Government,Warburton Primary School,Primary,16 Horners Road,Warburton,3799,03 5966 2010,745,Yarra Ranges ,Yarra Ranges Shire Council,145.7017044,-37.75580451
Government,Tallarook Primary School,Primary,52 Main Road,Tallarook,3659,03 5792 1752,485,Mitchell ,Mitchell Shire Council,145.10067,-37.096764
Government,Barnawartha Primary School,Primary,11-17 Stanely Street,Barnawartha,3688,02 6026 7227,335,Indigo ,Indigo City Council,146.675889,-36.101309
Government,Fitzroy North Primary School,Primary,3 Fergie Street,Fitzroy North,3068,03 9481 5860,735,Yarra ,Yarra City Council,144.984149,-37.78502
Government,Ashby Primary School,Primary,1-7 Waratah Street,Geelong West,3218,03 5223 1291,275,Greater Geelong ,Greater Geelong City Council,144.347098,-38.138556
Government,Preston Primary School,Primary,240 Tyler Street,Preston,3072,03 9470 1167,189,Darebin ,Darebin City Council,145.01031,-37.730548
Government,Tooradin Primary School,Primary,Bayview Road,Tooradin,3980,03 5998 3321,161,Casey ,Casey City Council,145.378493,-38.207631
Government,Glenferrie Primary School,Primary,78 - 98 Manningtree Road,Hawthorn,3122,03 9818 4338,111,Boroondara ,Boroondara City Council,145.033974,-37.824048
Government,Elmore Primary School,Primary,36 Michie Street,Elmore,3558,03 5432 6247,262,Greater Bendigo ,Greater Bendigo City Council,144.608912,-36.497198
Government,Dookie Primary School,Primary,Baldock Street,Dookie,3646,03 5828 6585,283,Greater Shepparton ,Greater Shepparton City Council,145.682794,-36.331067
Government,Brighton Primary School,Primary,59 Wilson Street,Brighton,3186,03 9592 0177,91,Bayside ,Bayside City Council,145.001077,-37.912211
